step,loss,lr,train_tokens
0,6.392570972442627,2.9999999999999997e-06,528
100,6.410737991333008,0.0003,53328
200,6.368289947509766,0.0002909538931178862,106128
300,6.29533576965332,0.00026490666646784665,158928
400,6.294283390045166,0.000225,211728
500,6.2887420654296875,0.00017604722665003956,264528
600,6.249043941497803,0.00012395277334996044,317328
700,6.241347789764404,7.500000000000002e-05,370128
800,6.2239813804626465,3.509333353215331e-05,422928
900,6.208864688873291,9.046106882113751e-06,475728
999,6.209825038909912,9.138513314410623e-10,528000
