step,loss,lr,train_tokens
0,4.330904006958008,2.9999999999999997e-06,528
100,4.284891605377197,0.0003,53328
200,4.246562957763672,0.00029912069357315393,106128
300,4.1431708335876465,0.000296493083356513,158928
400,4.144416809082031,0.00029214797567742035,211728
500,4.13714075088501,0.0002861363129506435,264528
600,4.090826511383057,0.00027852857642513836,317328
700,3.928046464920044,0.00026941395985584653,370128
800,3.895598888397217,0.0002588993237884696,422928
900,3.80680775642395,0.00024710794271727413,475728
1000,3.731628656387329,0.00023417805980435736,528528
1100,3.7081005573272705,0.00022026126610496852,581328
1200,3.6285152435302734,0.00020552072330098716,634128
1300,3.602179527282715,0.00019012925077938314,686928
1400,3.547168731689453,0.00017426729948291474,739728
1500,3.4958207607269287,0.0001581208362878126,792528
1600,3.479875087738037,0.00014187916371218736,845328
1700,3.444892168045044,0.0001257327005170853,898128
1800,3.4178404808044434,0.00010987074922061689,950928
1900,3.4169392585754395,9.447927669901282e-05,1003728
2000,3.3591132164001465,7.973873389503149e-05,1056528
2100,3.3525588512420654,6.582194019564266e-05,1109328
2200,3.3287174701690674,5.289205728272586e-05,1162128
2300,3.3402938842773438,4.1100676211530404e-05,1214928
2400,3.3172364234924316,3.058604014415343e-05,1267728
2500,3.310007333755493,2.147142357486164e-05,1320528
2600,3.3045401573181152,1.3863687049356464e-05,1373328
2700,3.3268213272094727,7.852024322579648e-06,1426128
2800,3.274777889251709,3.506916643487001e-06,1478928
2900,3.286013126373291,8.793064268460604e-07,1531728
2999,3.287342071533203,8.801667749636088e-11,1584000
