model,T,state_bytes,ms_per_token_median,ms_p90,hardware,dtype,torch,cuda,seed,random_init,params
p1-toy,1024,24592,1.0624529995766352,1.081537799564103,x86_64 x4 x86_64,fp32,2.14.0+cpu,cpu,0,True,336332
p1-toy,2048,24592,1.064641499397112,1.104524299807963,x86_64 x4 x86_64,fp32,2.14.0+cpu,cpu,0,True,336332
p1-toy,4096,24592,1.059448500200233,1.0983433004184917,x86_64 x4 x86_64,fp32,2.14.0+cpu,cpu,0,True,336332
p1-toy,8192,24592,1.0555019998719217,1.0783570007333765,x86_64 x4 x86_64,fp32,2.14.0+cpu,cpu,0,True,336332
p1-toy,16384,24592,1.0579304998827865,1.1050906001401017,x86_64 x4 x86_64,fp32,2.14.0+cpu,cpu,0,True,336332
p1-toy,32768,24592,1.065993500105833,1.0922017000666528,x86_64 x4 x86_64,fp32,2.14.0+cpu,cpu,0,True,336332
