model,length,bpb,ppl,delta_vs_1x,gap_vs_baseline,seed,n_tokens,random_init,params
transformer-toy,32,6.261166531298142,76.70063046220135,0.0,0.0,0,63,True,336768
transformer-toy,64,6.324608395685779,80.14876558407343,0.0634418643876371,6.41915104846061,0,95,True,336768
transformer-toy,128,6.315714238695089,79.65617163401377,0.05454770739694759,9.136317960359474,0,159,True,336768
transformer-toy,256,6.2594236579158125,76.6080268495043,-0.0017428733823292575,6.04697651974453,0,287,True,336768
p1-toy,32,7.3871969588441875,167.40478539969675,0.0,0.0,0,63,False,336332
p1-toy,64,13.869789871692435,14970.03393865754,6.482592912848247,6.41915104846061,0,95,False,336332
p1-toy,128,16.57806262660061,97834.9709980136,9.190865667756421,9.136317960359474,0,159,False,336332
p1-toy,256,13.432430605206388,11055.147129479832,6.045233646362201,6.04697651974453,0,287,False,336332
