step,loss,lr,train_tokens
0,4.329980373382568,2.9999999999999997e-06,528
100,4.278683185577393,0.0003,53328
200,4.202078342437744,0.00029912069357315393,106128
300,4.180016994476318,0.000296493083356513,158928
400,4.178934574127197,0.00029214797567742035,211728
500,4.108713150024414,0.0002861363129506435,264528
600,3.980565309524536,0.00027852857642513836,317328
700,3.865579128265381,0.00026941395985584653,370128
800,3.8330299854278564,0.0002588993237884696,422928
900,3.779775619506836,0.00024710794271727413,475728
1000,3.7334535121917725,0.00023417805980435736,528528
1100,3.7258055210113525,0.00022026126610496852,581328
1200,3.6893093585968018,0.00020552072330098716,634128
1300,3.612069606781006,0.00019012925077938314,686928
1400,3.5853567123413086,0.00017426729948291474,739728
1500,3.5633177757263184,0.0001581208362878126,792528
1600,3.5565106868743896,0.00014187916371218736,845328
1700,3.4705748558044434,0.0001257327005170853,898128
1800,3.4581780433654785,0.00010987074922061689,950928
1900,3.427145004272461,9.447927669901282e-05,1003728
2000,3.4175562858581543,7.973873389503149e-05,1056528
2100,3.4088690280914307,6.582194019564266e-05,1109328
2200,3.380429267883301,5.289205728272586e-05,1162128
2300,3.351909875869751,4.1100676211530404e-05,1214928
2400,3.3526127338409424,3.058604014415343e-05,1267728
2500,3.3487443923950195,2.147142357486164e-05,1320528
2600,3.352116107940674,1.3863687049356464e-05,1373328
2700,3.4082016944885254,7.852024322579648e-06,1426128
2800,3.3570358753204346,3.506916643487001e-06,1478928
2900,3.376018524169922,8.793064268460604e-07,1531728
2999,3.342940092086792,8.801667749636088e-11,1584000
