model,length,bpb,ppl,delta_vs_1x,gap_vs_baseline,seed,n_tokens,random_init,params
transformer-toy,32,6.261166531298142,76.70063046220135,0.0,0.0,0,63,True,336768
transformer-toy,64,6.324608395685779,80.14876558407343,0.0634418643876371,10.989602839676216,0,95,True,336768
transformer-toy,128,6.315714238695089,79.65617163401377,0.05454770739694759,16.12071146829758,0,159,True,336768
transformer-toy,256,6.2594236579158125,76.6080268495043,-0.0017428733823292575,10.299007481612726,0,287,True,336768
p5-toy,32,7.656812668730645,201.80423895175832,0.0,0.0,0,63,False,336332
p5-toy,64,18.7098573727945,428773.8430941181,11.053044704063854,10.989602839676216,0,95,False,336332
p5-toy,128,23.832071844425172,14933736.496189458,16.175259175694528,16.12071146829758,0,159,False,336332
p5-toy,256,17.95407727696104,253931.0478731249,10.297264608230396,10.299007481612726,0,287,False,336332
