step,loss,lr,train_tokens
0,4.353569030761719,2.9999999999999997e-06,528
100,4.2444748878479,0.0003,53328
200,4.1907267570495605,0.00029912069357315393,106128
300,4.186814308166504,0.000296493083356513,158928
400,4.170169353485107,0.00029214797567742035,211728
500,4.10524845123291,0.0002861363129506435,264528
600,4.122081756591797,0.00027852857642513836,317328
700,4.0389509201049805,0.00026941395985584653,370128
800,3.972494125366211,0.0002588993237884696,422928
900,3.886791229248047,0.00024710794271727413,475728
1000,3.817845344543457,0.00023417805980435736,528528
1100,3.787632942199707,0.00022026126610496852,581328
1200,3.733596086502075,0.00020552072330098716,634128
1300,3.737945318222046,0.00019012925077938314,686928
1400,3.694484233856201,0.00017426729948291474,739728
1500,3.6677181720733643,0.0001581208362878126,792528
1600,3.65232515335083,0.00014187916371218736,845328
1700,3.619170904159546,0.0001257327005170853,898128
1800,3.6072580814361572,0.00010987074922061689,950928
1900,3.6081573963165283,9.447927669901282e-05,1003728
2000,3.602524518966675,7.973873389503149e-05,1056528
2100,3.6070196628570557,6.582194019564266e-05,1109328
2200,3.5840952396392822,5.289205728272586e-05,1162128
2300,3.5876784324645996,4.1100676211530404e-05,1214928
2400,3.6137609481811523,3.058604014415343e-05,1267728
2500,3.5584964752197266,2.147142357486164e-05,1320528
2600,3.59470272064209,1.3863687049356464e-05,1373328
2700,3.598311185836792,7.852024322579648e-06,1426128
2800,3.5622146129608154,3.506916643487001e-06,1478928
2900,3.582303285598755,8.793064268460604e-07,1531728
2999,3.561915636062622,8.801667749636088e-11,1584000
