step,loss,lr,train_tokens
0,4.331124782562256,2.9999999999999997e-06,528
100,4.286838054656982,0.0003,53328
200,4.251012802124023,0.00029912069357315393,106128
300,4.154414653778076,0.000296493083356513,158928
400,4.1583099365234375,0.00029214797567742035,211728
500,4.119778156280518,0.0002861363129506435,264528
600,4.046735763549805,0.00027852857642513836,317328
700,3.903691530227661,0.00026941395985584653,370128
800,3.896834373474121,0.0002588993237884696,422928
900,3.803704261779785,0.00024710794271727413,475728
1000,3.7388315200805664,0.00023417805980435736,528528
1100,3.6982648372650146,0.00022026126610496852,581328
1200,3.630126714706421,0.00020552072330098716,634128
1300,3.5956156253814697,0.00019012925077938314,686928
1400,3.5390005111694336,0.00017426729948291474,739728
1500,3.5005764961242676,0.0001581208362878126,792528
1600,3.4792277812957764,0.00014187916371218736,845328
1700,3.4466867446899414,0.0001257327005170853,898128
1800,3.4289681911468506,0.00010987074922061689,950928
1900,3.419234037399292,9.447927669901282e-05,1003728
2000,3.377943515777588,7.973873389503149e-05,1056528
2100,3.358344793319702,6.582194019564266e-05,1109328
2200,3.3508901596069336,5.289205728272586e-05,1162128
2300,3.3235316276550293,4.1100676211530404e-05,1214928
2400,3.334709644317627,3.058604014415343e-05,1267728
2500,3.3336868286132812,2.147142357486164e-05,1320528
2600,3.3012285232543945,1.3863687049356464e-05,1373328
2700,3.3294014930725098,7.852024322579648e-06,1426128
2800,3.314215898513794,3.506916643487001e-06,1478928
2900,3.2792770862579346,8.793064268460604e-07,1531728
2999,3.307539224624634,8.801667749636088e-11,1584000
