model,length,bpb,ppl,delta_vs_1x,gap_vs_baseline,seed,n_tokens,random_init,params
transformer-toy,32,6.973604588102674,125.67941742879027,0.0,0.0,0,63,False,336768
transformer-toy,64,18.561958024600617,386995.70370931143,11.588353436497943,0.0,0,95,False,336768
transformer-toy,128,22.527606723432704,6046239.6124989195,15.55400213533003,0.0,0,159,False,336768
transformer-toy,256,17.76379133512077,222553.29499957783,10.790186747018097,0.0,0,287,False,336768
