step,loss,lr,train_tokens
0,4.333798885345459,2.9999999999999997e-06,528
100,4.194879531860352,0.0003,53328
200,4.021063804626465,0.00029912069357315393,106128
300,3.825450897216797,0.000296493083356513,158928
400,3.7461657524108887,0.00029214797567742035,211728
500,3.6501564979553223,0.0002861363129506435,264528
600,3.524552583694458,0.00027852857642513836,317328
700,3.413217067718506,0.00026941395985584653,370128
800,3.3592357635498047,0.0002588993237884696,422928
900,3.3025875091552734,0.00024710794271727413,475728
1000,3.252267599105835,0.00023417805980435736,528528
1100,3.236161947250366,0.00022026126610496852,581328
1200,3.200612783432007,0.00020552072330098716,634128
1300,3.163989543914795,0.00019012925077938314,686928
1400,3.1578571796417236,0.00017426729948291474,739728
1500,3.1645336151123047,0.0001581208362878126,792528
1600,3.1410930156707764,0.00014187916371218736,845328
1700,3.1246888637542725,0.0001257327005170853,898128
1800,3.108354091644287,0.00010987074922061689,950928
1900,3.0843472480773926,9.447927669901282e-05,1003728
2000,3.101367235183716,7.973873389503149e-05,1056528
2100,3.1115100383758545,6.582194019564266e-05,1109328
2200,3.1062638759613037,5.289205728272586e-05,1162128
2300,3.120466947555542,4.1100676211530404e-05,1214928
2400,3.106473445892334,3.058604014415343e-05,1267728
2500,3.134251117706299,2.147142357486164e-05,1320528
2600,3.104947805404663,1.3863687049356464e-05,1373328
2700,3.1037938594818115,7.852024322579648e-06,1426128
2800,3.0766663551330566,3.506916643487001e-06,1478928
2900,3.071909189224243,8.793064268460604e-07,1531728
2999,3.092148542404175,8.801667749636088e-11,1584000
