step,loss,lr,train_tokens
0,4.32000732421875,2.9999999999999997e-06,528
100,4.265718936920166,0.0003,53328
200,4.19780158996582,0.00029912069357315393,106128
300,4.2029314041137695,0.000296493083356513,158928
400,4.127443313598633,0.00029214797567742035,211728
500,4.142199993133545,0.0002861363129506435,264528
600,4.063467025756836,0.00027852857642513836,317328
700,4.04285192489624,0.00026941395985584653,370128
800,3.934030294418335,0.0002588993237884696,422928
900,3.868415594100952,0.00024710794271727413,475728
1000,3.8212475776672363,0.00023417805980435736,528528
1100,3.7445030212402344,0.00022026126610496852,581328
1200,3.7272398471832275,0.00020552072330098716,634128
1300,3.711524486541748,0.00019012925077938314,686928
1400,3.683983087539673,0.00017426729948291474,739728
1500,3.659308433532715,0.0001581208362878126,792528
1600,3.6798720359802246,0.00014187916371218736,845328
1700,3.613227367401123,0.0001257327005170853,898128
1800,3.627577543258667,0.00010987074922061689,950928
1900,3.589341402053833,9.447927669901282e-05,1003728
2000,3.585989475250244,7.973873389503149e-05,1056528
2100,3.6009624004364014,6.582194019564266e-05,1109328
2200,3.5792410373687744,5.289205728272586e-05,1162128
2300,3.591181993484497,4.1100676211530404e-05,1214928
2400,3.5831210613250732,3.058604014415343e-05,1267728
2500,3.5657949447631836,2.147142357486164e-05,1320528
2600,3.5993854999542236,1.3863687049356464e-05,1373328
2700,3.561046838760376,7.852024322579648e-06,1426128
2800,3.5611228942871094,3.506916643487001e-06,1478928
2900,3.561406373977661,8.793064268460604e-07,1531728
2999,3.547173261642456,8.801667749636088e-11,1584000
