step,loss,lr,train_tokens
0,4.3780951499938965,2.9999999999999997e-06,528
100,4.309194087982178,0.0003,53328
200,4.197628021240234,0.0002909538931178862,106128
300,4.191850662231445,0.00026490666646784665,158928
400,4.175230026245117,0.000225,211728
500,4.11932373046875,0.00017604722665003956,264528
600,4.059302806854248,0.00012395277334996044,317328
700,3.9948043823242188,7.500000000000002e-05,370128
800,3.9715847969055176,3.509333353215331e-05,422928
900,3.993492603302002,9.046106882113751e-06,475728
999,3.942723035812378,9.138513314410623e-10,528000
