step,loss,lr,train_tokens
0,4.370905876159668,2.9999999999999997e-06,528
100,4.311212062835693,0.0003,53328
200,4.191988945007324,0.0002909538931178862,106128
300,4.197690010070801,0.00026490666646784665,158928
400,4.189840316772461,0.000225,211728
500,4.144672870635986,0.00017604722665003956,264528
600,4.121842384338379,0.00012395277334996044,317328
700,4.065519332885742,7.500000000000002e-05,370128
800,4.060232639312744,3.509333353215331e-05,422928
900,4.068325996398926,9.046106882113751e-06,475728
999,4.043635845184326,9.138513314410623e-10,528000
