model,length,bpb,ppl,delta_vs_1x,gap_vs_baseline,seed,n_tokens,random_init,params
transformer-tiny,64,13.374126576817291,10617.279869498534,0.0,0.0,0,127,True,29366784
transformer-tiny,128,13.15616389163966,9128.511336883093,-0.21796268517763195,0.1185817452072584,0,191,True,29366784
transformer-tiny,256,13.304098113550987,10114.22469168942,-0.07002846326630419,-0.02310186272408643,0,319,True,29366784
p5-tiny,64,13.324712835744421,10259.78469762006,0.0,0.0,0,127,True,29373756
p5-tiny,128,13.225331895774048,9576.826140755353,-0.09938093997037356,0.1185817452072584,0,191,True,29373756
p5-tiny,256,13.23158250975403,9618.408669275508,-0.09313032599039062,-0.02310186272408643,0,319,True,29373756
