model,length,bpb,ppl,delta_vs_1x,gap_vs_baseline,seed,n_tokens,random_init,params
transformer-tiny,64,13.374126576817291,10617.279869498534,0.0,0.0,0,127,True,29366784
transformer-tiny,128,13.15616389163966,9128.511336883093,-0.21796268517763195,0.31694253443722964,0,191,True,29366784
transformer-tiny,256,13.304098113550987,10114.22469168942,-0.07002846326630419,0.1799037433777393,0,319,True,29366784
p1-tiny,64,13.186260821678708,9320.946988021247,0.0,0.0,0,127,True,29373756
p1-tiny,128,13.285240670938306,9982.882089334773,0.09897984925959769,0.31694253443722964,0,191,True,29373756
p1-tiny,256,13.296136101790143,10058.559588023156,0.1098752801114351,0.1799037433777393,0,319,True,29373756
