model,T,state_bytes,ms_per_token_median,ms_p90,hardware,dtype,torch,cuda,seed,random_init,params
p1-tiny,64,3145824,11.924351500056218,12.923717199964813,x86_64 x4 x86_64,fp32,2.14.0+cpu,cpu,0,True,29373756
p1-tiny,128,3145824,12.234160499929203,12.48769299977539,x86_64 x4 x86_64,fp32,2.14.0+cpu,cpu,0,True,29373756
p1-tiny,256,3145824,12.174299999969662,12.301298899819813,x86_64 x4 x86_64,fp32,2.14.0+cpu,cpu,0,True,29373756
